Stadt,Anzahl_Firmen,lat,lon
Reichenberg,7,0,0
Kusel,3,0,0
Mosbach,3,0,0
Birkenwerder und Berlin,2,0,0
Breslau und Habelschwerdt,2,0,0
Habelschwerdt,2,0,0
Frankenstein,5,0,0
Feuchtwangen,2,0,0
Lausanne (Schweiz),28,0,0
Tauberbischofsheim,3,0,0
Demmin,8,0,0
später Ebenrode,2,0,0
Coswig,6,0,0
Bad Gandersheim,3,0,0
Werl,5,0,0
Erkner,4,0,0
später Wuppertal-Elberfeld,2,0,0
später Bad Pyrmont,5,0,0
Freiurg,2,0,0
Putzig,2,0,0
Jägerndorf,4,0,0
Velbert,5,0,0
Grevesmühlen,4,0,0
Tilsit,3,0,0
Rheydt,8,0,0
Stuttgart-Bad Cannstatt,6,0,0
später Naunhof,4,0,0
Mettmann,3,0,0
Arnswalde,4,0,0
Aurich,4,0,0
Norderney,3,0,0
Emden,7,53.36667666,7.216654824
Soltau,4,0,0
später Peitz,2,0,0
Ochsenfurt,3,0,0
Helmstedt,2,0,0
Kroatien),3,0,0
Kempten und München,2,0,0
Osnabrück,18,52.28043805,8.049988972
Bückeburg,5,0,0
später Völklingen,2,0,0
Waltrop,2,0,0
Renchen,2,0,0
später Bad Liebenzell,2,0,0
Brunsbüttelkoog,2,0,0
Waldmünchen,2,0,0
Friedeberg,3,0,0
Hildburghausen,8,0,0
Vicenza (Italien),2,0,0
Petershagen,3,0,0
Kecskémet (Ungarn),2,0,0
Preussisch Eylau,2,0,0
Ingolstadt,6,48.77041974,11.44998816
Trentschin,2,0,0
Bad Salzungen,4,0,0
Deutsch Krone,3,0,0
später Einbeck,3,0,0
Schwarzenberg,6,0,0
Krems (Österreich),6,0,0
Hofgastein (Österreich),2,0,0
Hauptdirektion Warschau (Polen),2,0,0
Zakopane (Polen),2,0,0
später Eisenach,2,0,0
Berlin und Leipzig,23,0,0
Tangerhütte,2,0,0
Rothenburg ob der Tauber,6,0,0
Altheide,2,0,0
später Göttingen,6,0,0
Zoppot,6,0,0
Thum,4,0,0
Zschopau,4,0,0
Rahlstedt,2,0,0
Bad Harzburg,9,0,0
Alzey,3,0,0
Ebenhausen,3,0,0
später Braunschweig,7,0,0
Bad Pyrmont,8,0,0
Hersfeld,4,0,0
Interlaken (Schweiz),5,0,0
Vreden,3,0,0
Ill. (USA),2,0,0
Xanten,3,0,0
Ahrweiler,2,0,0
später Celle,4,0,0
Kraków (Polen),4,0,0
Geilenkirchen-Hünshoven,2,0,0
später Aue,2,0,0
Essen und Berlin,2,0,0
Ebnat (Schweiz),2,0,0
Hohenelbe,2,0,0
später Gefrees,2,0,0
Limburg (Lahn),5,0,0
später Helstorf,2,0,0
Lund (Schweden),8,0,0
Berneck,2,0,0
Bischofsteinitz,2,0,0
Schkeuditz,6,0,0
Gnadenfrei,3,0,0
Goldap,2,0,0
Forst,11,0,0
Troppau,5,0,0
Weiden,7,0,0
Bad Carlsruhe,2,0,0
Schlochau,3,0,0
Strasburg (Uckermark),3,0,0
Elspe,2,0,0
Prüm,4,0,0
Spremberg,6,0,0
später Spremberg,2,0,0
Inhaber Willy Herzig Magdeburg,2,0,0
Villingen,6,0,0
Thalheim,5,0,0
später Coburg,7,0,0
Aschaffenburg,6,0,0
später Füssen,3,0,0
Kappeln,2,0,0
Bremerhaven,7,53.55043805,8.579982461
Wrietzen,2,0,0
Kirchheimbolanden,4,0,0
Liebenthal,2,0,0
Germersheim,3,0,0
Leipzig und Crimmitschau,2,0,0
Landau,7,0,0
Siegburg,4,0,0
Idstein,2,0,0
Ohrdruf,6,0,0
Annaberg und Oberwiesenthal,2,0,0
Berlin und Zürich (Schweiz),2,0,0
Leisnig,4,0,0
Grevenbrück,2,0,0
später Köln,7,0,0
Salzburg (Österreich),19,0,0
Labiau,2,0,0
Imst und Landeck (Österreich),2,0,0
später Velburg,2,0,0
Eutin,5,0,0
zuletzt Flensburg,2,0,0
später Selm,2,0,0
Clausthal-Zellerfeld,4,0,0
Fallersleben,2,0,0
Eggenfelden,2,0,0
Marienburg,3,0,0
später Hamm,3,0,0
Mülheim,4,0,0
später München-Starnberg,2,0,0
Ebingen,4,0,0
Senftenberg,11,0,0
Ruhland,6,0,0
Füssen,3,0,0
Saarlautern,2,0,0
Grünberg,8,0,0
Bad Polzin,4,0,0
Gassen,2,0,0
Hohenstein,2,0,0
Nebenbüro in Leipzig,2,0,0
Marienbad,5,0,0
Bad Reichenhall,9,0,0
Wuppertal-Ronsdorf,2,0,0
Schweden),14,0,0
Leipzig und Wien (Österreich),3,0,0
Bretten,4,0,0
Jauer,5,0,0
später Bad Aussee (Österreich),2,0,0
Kremsier,2,0,0
Karlstadt (Schweden),2,0,0
Großenhain,6,0,0
zuletzt Berlin,2,0,0
Knittelfeld (Österreich),4,0,0
Heydekrug,2,0,0
Passau,7,48.56704714,13.46660925
Kirchheim (u. Teck),2,0,0
Wels (Österreich),8,0,0
Rumburg,3,0,0
Duderstadt,5,0,0
Desden,3,0,0
Wermelskirchen,3,0,0
später Weil der Stadt,2,0,0
Lippspringe,2,0,0
Homberg,7,0,0
später Halle (Saale),6,0,0
Suttgart,2,0,0
Plön,2,0,0
Neusalz,2,0,0
später London (Großbritannien),4,0,0
Stockerau (Österreich),3,0,0
Miltenberg,4,0,0
Olten,2,0,0
später Neumünster,2,0,0
Weisswasser,2,0,0
später Barmstedt,2,0,0
Pössneck,7,0,0
Baden bei Wien (Österreich),3,0,0
Kaaden,4,0,0
später Schönau über Olpe,2,0,0
Caputh,3,0,0
Wesermünde,5,0,0
Bredstedt,3,0,0
Plieningen,2,0,0
Katzenelnbogen,2,0,0
Hilden,2,0,0
Cannstatt,3,0,0
Bischofsburg,3,0,0
Niedersedlitz,9,0,0
Meschede,4,0,0
später Hannover,6,0,0
Langenlois (Österreich),3,0,0
Wien (Österreich) und Leipzig,3,0,0
Kolmar,3,0,0
Naugard,3,0,0
Neuhaldensleben,3,0,0
später Weixdorf,2,0,0
Verden,2,0,0
Rummelsburg,2,0,0
Stanislau,2,0,0
Lobositz,3,0,0
Spiez (Schweiz),2,0,0
Kahla,3,0,0
später Nachmühlen,2,0,0
später Antwerpen (Belgien),2,0,0
Saarlautern (Saarlouis),5,0,0
Calw,5,0,0
New Orleans (USA),4,0,0
Bromberg,2,0,0
Hälsingborg (Schweden),3,0,0
Treysa,3,0,0
Wismar,15,0,0
Heerenveen (Niederlande),2,0,0
später Seebruck,2,0,0
Kempen,6,0,0
Cambridge,2,52.20039125,0.116623086
Saarburg,2,0,0
Lübbecke,4,0,0
Preussisch Holland,2,0,0
Heide,6,0,0
Heiligenbeil,4,0,0
Langenbielau,3,0,0
Querfurt,7,0,0
Küstrin,4,0,0
Schärding,2,0,0
Seehausen,4,0,0
Stadthagen,5,0,0
später Fürstenfeldbruck,2,0,0
Kingswood und London (Großbritannien),2,0,0
Karlsbad,4,0,0
Scharbeutz,2,0,0
Alsfeld,5,0,0
Bludenz (Österreich),2,0,0
Eckernförde,3,0,0
Pfungstadt,2,0,0
Bordesholm,2,0,0
später Limburg,2,0,0
Bad Mergentheim,5,0,0
Kirchen,2,0,0
Meuselwitz,5,0,0
Neubiberg,2,0,0
Tetschen,2,0,0
Driesen,2,0,0
später Bremerhaven,2,0,0
Winsen (Luhe),2,0,0
Ottweiler,2,0,0
Aalen,4,0,0
Berlinchen,3,0,0
Böhmisch-Leipa,2,0,0
später Reinsdorf,2,0,0
Hilchenbach,4,0,0
Erkelenz,3,0,0
Langenberg,3,0,0
Boizenburg (Elbe),3,0,0
Solln,2,0,0
Curityba (Brasilien),13,0,0
Nierstein,3,0,0
Gunzenhausen,4,0,0
Brandenburg (Havel),5,0,0
Hiltrup,2,0,0
Sangerhausen,9,0,0
Waiblingen,2,0,0
später Niederkaufungen,2,0,0
Schönberg,4,0,0
Coesfeld,3,0,0
Hückeswagen,2,0,0
Lommatzsch,5,0,0
Uetersen,6,0,0
Egeln,4,0,0
Friesack,3,0,0
Löwenberg,3,0,0
Striegau,3,0,0
Arnheim (Niederlande),3,0,0
Wohlau,4,0,0
Middelburg (Niederlande),5,0,0
später St. Heinrich,2,0,0
später Vechelde,2,0,0
Dahme (Mark),3,0,0
später Walldürn,2,0,0
später Karlsruhe,2,0,0
Insterburg,3,0,0
Stockolm (Schweden),2,0,0
Bad Sooden-Allendorf,2,0,0
Osterburg,3,0,0
später Rabenstein,2,0,0
Dessau-Rosslau,2,0,0
Glashütte,2,0,0
Valparaiso (Chile),6,0,0
später Eutin,4,0,0
später nur Hamburg,2,0,0
später St. Peter,2,0,0
Riesa,11,0,0
später Bayreuth,3,0,0
Fleissen,2,0,0
Hirschberg (Saale),3,0,0
Buchhandlung Ludwigshafen,2,0,0
Neuburg,3,0,0
Oberstdorf,3,0,0
Rossbach,2,0,0
später Bielefeld,2,0,0
später Weißenfels,2,0,0
Deggendorf,4,0,0
Kitzingen,3,0,0
später Büren,2,0,0
Oehringen,2,0,0
Bad Hersfeld,2,0,0
Zittau und Dresden,2,0,0
Neuenhagen,3,0,0
Sonthofen,2,0,0
Emsdetten,3,0,0
Horsens (Dänemark),3,0,0
später Wolfsburg,2,0,0
Oelde,2,0,0
Weiler,2,0,0
später Berlin und Hamburg,2,0,0
Obermenzing,4,0,0
Birkenwerder,3,0,0
Glogau,5,0,0
Regis-Brettingen,2,0,0
Trebnitz,4,0,0
Altdamm,2,0,0
Altenmarkt,2,0,0
Müglitz,2,0,0
Unna,6,0,0
später Amsterdam,2,0,0
Dülmen,4,0,0
Malchin,2,0,0
Kandel,2,0,0
Pilsen,2,0,0
Heidenheim,4,0,0
Fiume (Italien),3,0,0
St. Veit (Österreich),3,0,0
Diessen,2,0,0
Frauenfeld (Schweiz),3,0,0
Krumbach,2,0,0
Schrobenhausen,2,0,0
Gross-Strehlitz,2,0,0
später Leimen,2,0,0
Schönlanke,3,0,0
Zürich und Solothurn (Schweiz),2,0,0
Günzburg,4,0,0
Leipzig und Zürich,2,0,0
Lörrach,6,0,0
Northeim,7,0,0
Görkau,2,0,0
Offenbach,2,0,0
Mindelheim,3,0,0
Hattingen,2,0,0
St. Louis (USA),4,0,0
Holzminden,4,0,0
Satu-Mare (Rumänien),4,0,0
Schwaig,2,0,0
Torgau,4,0,0
Sebes-Alba (Rumänien),2,0,0
Haldensleben,7,0,0
Leverkusen-Wiesdorf,3,0,0
Weener,2,0,0
Aussig (Tschechien),2,0,0
Johanngeorgenstadt,2,0,0
Speyer,12,0,0
Neudietendorf,3,0,0
später Lichtenfels,2,0,0
Bad Landeck,3,0,0
Schwenningen,2,0,0
Friedek,2,0,0
Tarnów (Polen),4,0,0
Neu-Oderberg,2,0,0
Tondern (Dänemark),3,0,0
Kreuz,2,0,0
Gettorf,2,0,0
Emseloh,2,0,0
später Machern,2,0,0
Dömitz,4,0,0
Obernkirchen,2,0,0
Buchholz-Hohenkrug,2,0,0
Laasphe,4,0,0
Bingen (Rhein),4,0,0
später Eichwalde,2,0,0
Bremen und Hannover,2,0,0
USA),4,0,0
London (Großritannien),2,0,0
Lindenberg,3,0,0
Johannisburg,3,0,0
Lenzkirch,2,0,0
später Itzehoe,3,0,0
Malente-Gremsmühlen,2,0,0
Kleinwittenberg (Elbe),2,0,0
Beetzendorf (Altmark),2,0,0
Nürnberg und Kempten,2,0,0
Saaz,2,0,0
Schwyz (Schweiz),4,0,0
Oberveischede,2,0,0
Ferndorf,2,0,0
Arosa (Schweiz),3,0,0
Großschönau und Leipzig,2,0,0
Gelnhausen,4,0,0
später Gotha,2,0,0
Bitsch,2,0,0
Aarhus (Dänemark),10,0,0
später Wieslet,2,0,0
Frankenberg,9,0,0
Sarajevo (Jugoslavien),11,0,0
Hammelburg,2,0,0
Rahden,2,0,0
Montabaur,3,0,0
Deutsch Gabel,2,0,0
Istanbul (Türkei),29,0,0
später Greiffenberg,2,0,0
Misdroy,2,0,0
Steyr (Österreich),7,0,0
Ratibor,5,0,0
Bad Sachsa,2,0,0
Pfarrkirchen,2,0,0
Limbach,7,0,0
Podejuch,2,0,0
Gera,33,50.87036908,12.07000199
später Bad Grund,2,0,0
Duppau,2,0,0
Rottenburg (Neckar),4,0,0
Luckenwalde,9,0,0
Altenkirchen,2,0,0
Fürstenfeldbruck,2,0,0
Waidhofen (Thaya) (Österreich),2,0,0
Wehlau,3,0,0
Crivitz,4,0,0
Hamburg-Barmbeck,2,0,0
Reps (Rumänien),2,0,0
Kuopio (Finnland),2,0,0
Schmiedeberg,4,0,0
Altena,4,0,0
Ditzingen,2,0,0
Stolzenau (Weser),2,0,0
Suhl,9,0,0
Oberkaufungen,2,0,0
später Königsee,2,0,0
Bad Gastein,3,0,0
Buckow,5,0,0
später Steinebach,2,0,0
Boppard,2,0,0
Chrudim,2,0,0
später Lindach,2,0,0
Pabianice (Polen),4,0,0
Rüdesheim (Rhein),2,0,0
Hemer,3,0,0
Stollberg,6,0,0
Völklingen,3,0,0
später Riederau,2,0,0
Arad (Rumänien),9,0,0
Paramaribo (Niederländisch-Guyana),2,0,0
Köln-Mülheim,5,0,0
später Wiesbaden,5,0,0
später Bad Harzburg,2,0,0
Guttstadt,3,0,0
Bad Wörishofen,5,0,0
später Dresden,4,0,0
Guhrau,3,0,0
Kyritz,2,0,0
St. Moritz (Schweiz),2,0,0
Neuenhaus,2,0,0
Hünfeld,3,0,0
Bergedorf,2,0,0
später Bad Honnef,2,0,0
Menden,3,0,0
Stolzenhagen,2,0,0
Laupheim,3,0,0
später Berlin und Bielefeld,2,0,0
später Schkeuditz,4,0,0
Odrau (Tschechien),2,0,0
später Teisendorf,2,0,0
Quakenbrück,4,0,0
Lübz,3,0,0
Liebau,3,0,0
Ahaus,3,0,0
Oberkotzau,2,0,0
Hallein,2,0,0
Podersam,2,0,0
Bad Lausick,4,0,0
später Sassleben,2,0,0
später Meine,2,0,0
Hettstedt,5,0,0
Stallupönen (Ebenrode),2,0,0
später Ravensburg,2,0,0
Turek,2,0,0
dann München,2,0,0
Gräfenhainichen,3,0,0
Darkehmen,2,0,0
Bacharach (Rhein),2,0,0
Neudamm,3,0,0
Mehlsack,3,0,0
Ballenstedt,5,0,0
Billerbeck,2,0,0
Malchow,3,0,0
Lauf (Pegnitz),5,0,0
Kappeln (Schlei),2,0,0
St. Wendel,4,0,0
später Bad Kreuznach,2,0,0
Brasilien),2,0,0
später Kleinschmieden,2,0,0
Lauban,3,0,0
Belgrad (Jugoslavien),51,0,0
Sredisce (Jugoslavien),2,0,0
Cheribon (Java),3,0,0
Baja (Ungarn),2,0,0
Remagen (Rhein),3,0,0
später Wiederitzsch,2,0,0
München und Berlin,5,0,0
Verden (Aller),6,0,0
Bühl,4,0,0
später Markkleeberg,5,0,0
Stuttgart und Berlin,5,0,0
Oppeln,5,0,0
Ziegenhain,2,0,0
Blumau (Österreich),2,0,0
M.-Gladbach,4,0,0
Haltern,2,0,0
später Blankenese,2,0,0
später Bleicherode,3,0,0
Landsberg,5,0,0
Oranienburg,9,0,0
Halver,4,0,0
später Ranis,2,0,0
Genua (Italien),8,0,0
Berleburg,3,0,0
später Augsburg,4,0,0
Warnemünde,3,0,0
Berndorf (Österreich),3,0,0
Hahnstätten,2,0,0
Radiumbad Oberschlema,4,0,0
Rothenburg o.T.,2,0,0
Kattowitz,2,0,0
Kamenz,10,0,0
Halls (Saale),2,0,0
Rheinfelden,5,0,0
Bernkastel-Cues (Bernkastel-Kues),2,0,0
Thun (Schweiz),7,0,0
Ragnit,4,0,0
Edenkoben,2,0,0
Luxemburg),2,0,0
Ohlau,5,0,0
Backnang,3,0,0
Kreuzburg,3,0,0
Haynau,4,0,0
Wekelsdorf,2,0,0
Lodz (Polen),16,0,0
Freilassing,2,0,0
Skien (Norwegen),2,0,0
Flensburg,9,54.78374778,9.433315388
Anklam,6,0,0
Finsterwalde,9,0,0
später Eisleben,2,0,0
Mölln,2,0,0
Sensburg,5,0,0
Sondershausen,9,0,0
Wyk auf Föhr,2,0,0
Elsterberg,2,0,0
Finow,3,0,0
Lemberg und Warschau (Polen),2,0,0
Pritzwalk,5,0,0
später Landshut,2,0,0
später Schöneiche,2,0,0
Milspe,2,0,0
Wesel,6,0,0
später Altengottern,2,0,0
Biel (Schweiz),11,0,0
später Lobenstein,2,0,0
Windsbach,2,0,0
Dohna,2,0,0
Lüchow,2,0,0
Netzschkau,2,0,0
später Fürth,2,0,0
Weinböhla,4,0,0
Kreiensen,2,0,0
Rastenburg,4,0,0
später Castrop-Rauxel,2,0,0
Gladenbach,2,0,0
Limburg,3,0,0
später Güstrow,3,0,0
Liestal (Schweiz),3,0,0
Wittingen,3,0,0
Klein-Machnow,2,0,0
Helgoland,2,0,0
Glauchau,13,0,0
Militsch,3,0,0
Königstein,7,0,0
Burgdorf (Schweiz),3,0,0
Schmiegel,2,0,0
Grabow,2,0,0
Kallmünz,3,0,0
Bad Hall (Österreich),2,0,0
später Seeshaupt,2,0,0
später Uchtdorf,2,0,0
Gettenbach,2,0,0
Eindhoven (Niederlande),7,0,0
später Werdau,2,0,0
Ziesar,3,0,0
Korneuburg (Österreich),3,0,0
Leer,4,0,0
Hohenmölsen,4,0,0
San José (Costa Rica),5,0,0
Weissenfels,7,0,0
Kairo (Ägypten),9,0,0
Bad Warmbrunn,3,0,0
Duisburg-Hamborn,4,0,0
Höchst (Schweiz),2,0,0
Paris (Frankreich) und Leipzig,2,0,0
Bad Kissingen,4,0,0
Bad Flinsberg,2,0,0
Managua (Nicaragua),2,0,0
Gorizia (Italien),3,0,0
Guatemala City (Guatemala),2,0,0
Valdivia (Chile),4,0,0
Locarno (Schweiz),9,0,0
Abbazia (Italien),5,0,0
später Lüneburg,2,0,0
Lohr (Main),2,0,0
Züllichau,3,0,0
Sigmaringen,3,0,0
Geesthacht,2,0,0
später Eppingen,2,0,0
Friedrichshafen,4,0,0
Upsala (Schweden),6,0,0
später Lamspringe,2,0,0
später Radeburg,2,0,0
Lindenfels,2,0,0
Pulsnitz,2,0,0
Plochingen,2,0,0
Örebro (Schweden),3,0,0
später Altenburg,2,0,0
später Basel (Schweiz),4,0,0
Hersbruck,3,0,0
Feldsberg (Österreich),2,0,0
Kronach,3,0,0
Schwenningen (Neckar),3,0,0
Ortelsburg,5,0,0
Fredrikstad (Norwegen),2,0,0
Kufstein,2,0,0
Bjelovar (Jugoslavien),3,0,0
Wollin,2,0,0
Metzingen,4,0,0
Liverpool (Großbritannien),3,0,0
Kristianstad (Schweden),3,0,0
Bello Horizonte (Brasilien),2,0,0
Rio de Janeiro (Brasilien),33,0,0
Florianopolis (Brasilien),3,0,0
Sao Paulo (Brasilien),41,0,0
Bad Schandau,6,0,0
Haarlem,2,52.38043194,4.629991006
Rorschach (Schweiz),4,0,0
Meiringen (Schweiz) und Leipzig,2,0,0
Gmunden,3,0,0
Grimma,5,0,0
Gernrode,4,0,0
Spangenberg,2,0,0
Bismark,3,0,0
Pleß,2,0,0
später Frankfurt (Oder),2,0,0
Köslin,4,0,0
Garding,2,0,0
Zerbst,3,0,0
Mastig,2,0,0
Schwirz,2,0,0
Homburg (Saar),4,0,0
La Chaux-de-Fonds (Schweiz),3,0,0
Cortina d'Ampezzo (Italien),2,0,0
Ötisheim,2,0,0
Honnef (Rhein),3,0,0
danach Frankfurt (Main),2,0,0
Chicago (USA),24,0,0
Ilmenau,8,0,0
München-Solln,3,0,0
Soldin,3,0,0
Grossenhain,4,0,0
später Küb am Semmering (Österreich),2,0,0
Basel (Schweiz) und Lörrach,2,0,0
Niederramstadt,2,0,0
Krappitz,2,0,0
später Unterwössen,2,0,0
Lauterbach,2,0,0
Blaubeuren,2,0,0
Gmunden und Bad Ischl (Österreich),2,0,0
Pribram,2,0,0
Furth,3,49.47001528,10.99998979
später Prierosbrück,3,0,0
Fürstenwalde,5,0,0
später Haselberg,2,0,0
Wengen (Schweiz),2,0,0
später Bamberg,2,0,0
Schlüchtern,4,0,0
Singen,4,0,0
Weilheim,3,0,0
Oschatz,7,0,0
Illertissen,2,0,0
Tokyo (Japan),2,0,0
Olpe,4,0,0
Reichenau,3,0,0
Schötmar,3,0,0
später Istanbul (Türkei),2,0,0
Eschweiler,3,0,0
Altdorf (Schweiz),2,0,0
Erstfeld (Schweiz),2,0,0
Stans (Schweiz),2,0,0
Butzbach,2,0,0
Hartenstein,3,0,0
Bad Segeberg,4,0,0
später Waldbröl,2,0,0
Aichach,2,0,0
Schiltigheim,2,0,0
Miesbach,3,0,0
Diez und Limburg (Lahn),2,0,0
Bad Ems,3,0,0
Schaffhausen (Schweiz),4,0,0
Grossdeuben,3,0,0
Neustadt an der Weinstrasse,4,0,0
Luckau,4,0,0
später Miesbach,2,0,0
später Mölkau,2,0,0
Euskirchen,7,0,0
Debreczin (Ungarn),2,0,0
Potsdam-Babelsberg,8,0,0
Höchstadt,2,0,0
Oberlahnstein,2,0,0
Marklissa,2,0,0
Güttingen (Schweiz),2,0,0
später München-Pasing,2,0,0
Sommerfeld,2,0,0
später Starnberg,6,0,0
Jüterbog,5,0,0
Rügenwalde,4,0,0
Aarau (Schweiz) und Leipzig,2,0,0
später Bad Oldesloe,3,0,0
Bünde,4,0,0
Friedrichswerth,2,0,0
Lötzen,3,0,0
Münchberg,3,0,0
Bad Oldesloe,3,0,0
Rössing,2,0,0
Sulingen,2,0,0
Trogen (Schweiz),6,0,0
Fürstenberg,3,0,0
Neapel (Italien),13,0,0
später Bad Steben,2,0,0
Litomysli (Tschechien),2,0,0
Münsingen (Schweiz),2,0,0
später Linz (Rhein),2,0,0
Breklum,2,0,0
Wien-Mödling (Österreich),2,0,0
Steyl,2,0,0
Tutzing,2,0,0
Hermannsburg,2,0,0
Knechtsteden,2,0,0
St. Ottilien,2,0,0
später Malchin,2,0,0
Bad Lauterberg,2,0,0
Horw-Luzern (Schweiz) und Leipzig,2,0,0
Schlossberg,2,0,0
Hall (Österreich),3,0,0
Herzogenbusch (Niederlande),2,0,0
Hohenkrug-Buchholz,2,0,0
später Bergen,2,0,0
später nur Planegg,2,0,0
Karlshafen,2,0,0
Oberglogau,2,0,0
Bad Schwalbach,3,0,0
Stadtsteinbach,2,0,0
Wiesloch,2,0,0
Worbis,5,0,0
später Rüschlikon (Schweiz),2,0,0
später Zürich (Schweiz),6,0,0
Heiligenstadt,6,0,0
Elbogen,2,0,0
später Iserlohn,2,0,0
St. Joachimsthal,2,0,0
Cosel,3,0,0
Wiedenbrück,3,0,0
Schüttorf,2,0,0
Woldegk,3,0,0
Alsdorf,2,0,0
Schleusingen,4,0,0
später Baden-Baden,2,0,0
Buttstädt,3,0,0
später Calau,2,0,0
Vilkaviskis (Litauen),2,0,0
Rogaska Slatina (Jugoslavien),2,0,0
Munderkingen,2,0,0
Durlach,2,0,0
Hofgastein,2,0,0
Wanne-Eickel,7,0,0
Bandoeng und Djocja,2,0,0
später Langensalza,3,0,0
Genf und Lausanne (Schweiz),2,0,0
Tilburg (Niederlande),6,0,0
später Rothwasser,2,0,0
Davos (Schweiz),2,0,0
Leuna,3,0,0
Neuburg (Donau),3,0,0
Jena und Camburg,2,0,0
später Hilchenbach,2,0,0
Altheide-Bad,2,0,0
Steinau,2,0,0
Bietigheim,3,0,0
Neuss,2,0,0
später Heilbronn,2,0,0
später Piesteritz,2,0,0
Berlin und Potsdam,2,0,0
später Greifswald,2,0,0
Greiffenberg,3,0,0
Immenstadt,4,0,0
Güstrow,11,0,0
Burg (Wupper),2,0,0
Bleicherode,5,0,0
Oranienbaum,2,0,0
Gräfelfing,2,0,0
Neustadt (Orla),4,0,0
Kellinghusen,2,0,0
Leeuwarden (Niederlande),3,0,0
Groningen (Niederlande),37,0,0
Hannover und Leipzig,2,0,0
Zella-Mehlis,6,0,0
Borkum,3,0,0
Jönköping (Schweden),4,0,0
Kehl,2,0,0
Milwaukee (USA),8,0,0
Borna,8,0,0
Shanghai (China),6,0,0
Achern,3,0,0
Leoben (Österreich),2,0,0
später Minden,2,0,0
später Leobschütz,2,0,0
Goldberg,3,0,0
Bevensen,3,0,0
Einsiedeln (Schweiz),5,0,0
Ober-Schreiberhau,3,0,0
Klosterneuburg (Österreich),2,0,0
später Hamburg-Altona,3,0,0
später Bischofswerda,2,0,0
später Böblingen,2,0,0
Wissen (Sieg),2,0,0
Löbau,7,0,0
Kassel und Stuttgart,2,0,0
Venedig (Italien),7,0,0
Herzberg (Elster),6,0,0
später Buchenau (Lahn),2,0,0
Rodenberg,2,0,0
Görbersdorf,3,0,0
Weissenburg,3,0,0
Ehingen (Donau),3,0,0
Regenwalde,2,0,0
Cloppenburg,3,0,0
Oberhausen-Sterkrade,3,0,0
Tegernsee,2,0,0
später Rellingen,2,0,0
Gumbinnen,3,0,0
Weischlitz,2,0,0
Bremen-Vegesack,3,0,0
Zempelburg,2,0,0
Koog a. Zaan (Niederlande),2,0,0
Königsbrück,5,0,0
Mostar (Jugoslavien),2,0,0
Alfeld (Leine),2,0,0
Peiskretscham,2,0,0
Bismarckhütte,2,0,0
Rheinhausen,2,0,0
Alexandrien (Ägypten),4,0,0
Kreuzlingen (Schweiz),8,0,0
St. Moritz-Dorf (Schweiz),2,0,0
Falkensee-Finkenkrug,3,0,0
Neckarsulm,2,0,0
Löwen (Belgien),5,0,0
Hainfeld (Österreich),3,0,0
China),9,0,0
Rzeszów (Polen),3,0,0
Riga (Letttland),2,0,0
später Penzing,2,0,0
Rothenburg (ob der Tauber),2,0,0
Ried (Österreich),2,0,0
Ratzeburg,4,0,0
Wittmund,2,0,0
Hohenwestedt,2,0,0
Steyerberg,2,0,0
später Mietingen,2,0,0
Sarnen (Schweiz),3,0,0
später Zeuthen,2,0,0
Ulm (Donau),11,0,0
Simbach (Inn),3,0,0
Schillingsfürst,2,0,0
Münsingen,2,0,0
Seesen,4,0,0
Horn (Österreich),2,0,0
Schwetzingen,3,0,0
Ziegenhals,3,0,0
Bad Meinberg,2,0,0
Freising,4,0,0
Villach (Österreich),3,0,0
Steinschönau,2,0,0
später Freiberg,2,0,0
Schömberg,2,0,0
Greifenhagen,3,0,0
Strelitz-Neustrelitz,2,0,0
Zwiesel,2,0,0
Taucha,6,0,0
Bottrop,6,0,0
Merseburg,12,0,0
Wreschen,2,0,0
später Bornhöved,2,0,0
Altdorf,2,46.87900214,8.638002584
Philadelphia (USA),13,0,0
Rochlitz,4,0,0
Schlawe,4,0,0
Mähr.-Rothmühl,2,0,0
Angerburg,2,0,0
Seebad Bansin,3,0,0
Post Obernhof,2,0,0
Mülheim (Ruhr),4,0,0
New York City (USA),2,0,0
Schivelbein,2,0,0
später Hamburg-Harburg,3,0,0
Valencia (Spanien),7,0,0
Bernstadt,4,0,0
Schaan (Liechtenstein),4,0,0
Sömmerda,5,0,0
Weipert,3,0,0
Neunkirchen (Saar),3,0,0
Eupen (Belgien),7,0,0
Wartha,2,0,0
Nachod,2,0,0
Winschoten (Niederlande),8,0,0
später Ahrensburg,2,0,0
Bischofshofen (Österreich),3,0,0
Saulgau,2,0,0
Wriezen,4,0,0
später Oberaudorf (Inn),2,0,0
später Marktbreit (Main),2,0,0
Mohrungen,2,0,0
Brixlegg (Österreich),2,0,0
Plathe,2,0,0
Merzig (Saar),2,0,0
Batavia (Java),2,0,0
Tönning,2,0,0
später Sulzbach-Rosenberg,2,0,0
Zuckmantel,2,0,0
Oelsnitz,12,0,0
später Ortenberg,2,0,0
später Tübingen,4,0,0
Offenburg,7,0,0
Esch (Luxemburg),5,0,0
später Dortmund,6,0,0
Strausberg,5,0,0
Barmstedt,3,0,0
Bad Liebenwerda,5,0,0
Gottesberg,2,0,0
Leipzig und Zürich (Schweiz),2,0,0
Oberammergau,4,0,0
Neunkirchen (Österreich),2,0,0
später Karl-Marx-Stadt,2,0,0
Lorch,5,0,0
