Stadt,Anzahl_Firmen,lat,lon
Schorndorf,2,0,0
Stade,6,0,0
Novisad (Jugoslawien),2,0,0
Frankenthal,5,0,0
Minden,10,0,0
Hofgeismar,3,0,0
Pyritz,3,0,0
Gevelsberg,4,0,0
Hindenburg,7,0,0
später Potsdam,7,0,0
Wenningstedt,2,0,0
Westerland,5,0,0
Düsseldorf,96,51.22037355,6.779988972
Wuppertal-Elberfeld,19,0,0
Karlsruhe,66,48.99999229,8.399993448
Rottenburg,3,0,0
Altona,16,0,0
Bergneustadt,2,0,0
Radolfzell,6,0,0
Starnberg,4,0,0
Garmisch-Partenkirchen,6,0,0
Oldenburg,34,53.1299986,8.220004434
,5,0,0
Lugau,6,0,0
Niebüll,4,0,0
Bruchsal,4,0,0
Villach,4,0,0
Weingarten,3,0,0
Paris (Frankreich),223,0,0
Arolsen,4,0,0
Ungvár (Ungarn),2,0,0
Spittal a. Drau (Österreich),2,0,0
Geisenheim,2,0,0
Otterndorf,2,0,0
Westerland (Sylt),2,0,0
Traben-Trarbach,2,0,0
Hagen (Zweigniederlassungen),2,0,0
Fellbach,5,0,0
Belzig,4,0,0
Hainburg (Österreich),2,0,0
Bamberg,13,0,0
Jerusalem,5,31.77840782,35.20662593
Trautenau,3,0,0
Wetzlar,8,0,0
Sao Leopoldo (Brasilien),3,0,0
Heidelberg,52,49.41999249,8.699975137
Gladbeck,4,0,0
Frankfurt (am Main),2,0,0
später Freiburg,5,0,0
Rom (Italien),49,0,0
Eisenach,36,0,0
Elsfleth a.d. Weser,2,0,0
Partenkirchen,2,0,0
später Hamburg,17,0,0
Pressnitz,2,0,0
Frankfurt (a. Main),2,0,0
Ilsenburg,3,0,0
Plauen,21,0,0
später München,20,0,0
Kaufbeuren,4,0,0
Szeged (Ungarn),5,0,0
Nikolsburg,3,0,0
Ulm,15,48.40039064,9.999999144
Rybnik,2,0,0
Glarus (Schweiz),5,0,0
Basel (Schweiz),108,0,0
Einsiedel,3,0,0
Leobschütz,5,0,0
Stettin,33,0,0
Eisenberg,7,0,0
Kirchberg,7,0,0
Kochem (Mosel),2,0,0
Michelstadt,3,0,0
später Ausweichgeschäft in Bad Kreuth,2,0,0
Neiße,2,0,0
Riesenburg,2,0,0
Schmölln,7,0,0
Edinburgh (Großbritannien),6,0,0
Chemnitz,66,50.82998395,12.91997595
Pfullingen,4,0,0
Pirna,10,0,0
Bad Dürkheim,3,0,0
Herborn,4,0,0
Lindau,8,0,0
Bad Schmiedeberg,3,0,0
Kirchheim,3,0,0
Cham,2,0,0
Schöningen,3,0,0
Hirschberg,6,0,0
Weilheilm,2,0,0
Saarbrücken,22,0,0
Gauting,3,0,0
Hilden (Rhein),2,0,0
Franzensbad,4,0,0
Selb,4,0,0
Mailand (Italien),56,0,0
Schwedt,2,0,0
Esslingen,13,0,0
Herrnhut,3,0,0
Mitau,2,0,0
Wigstadtl,2,0,0
Arnsberg,7,0,0
Aussig,2,0,0
Duisburg-Meiderich,4,0,0
Eilenburg,9,0,0
Homburg,5,0,0
Straßburg,2,0,0
Teplitz-Schönau,2,0,0
Uelzen,6,0,0
Uslar,3,0,0
Vibog (Dänemark),2,0,0
Merzig,3,0,0
später Wien (Österreich),9,0,0
Niemes,3,0,0
Soest,6,0,0
Werne (an der Lippe),2,0,0
Bekum,2,0,0
Zeitz,21,0,0
B.; Berlin,2,0,0
Peiskirchen,2,0,0
Mühlheim (Ruhr),2,0,0
Warburg,5,0,0
Pinneberg,3,0,0
später Quedlinburg,5,0,0
Bernburg,15,0,0
Waldheim,7,0,0
Langensalza,6,0,0
Ludwigshafen,18,0,0
Tabarz,4,0,0
Múkacevo,2,0,0
Aschersleben,20,0,0
Rosenheim,8,47.8503467,12.13330562
Urach,2,0,0
USA,3,0,0
Frankreich,3,0,0
Kevelaer,8,0,0
Mainz,39,49.98247246,8.273219156
Schneidemühl,5,0,0
Schleswig,8,0,0
Guben,18,0,0
später Erfurt,5,0,0
Remagen,3,0,0
Strassurg und Nancy (Frankreich),2,0,0
Sundern,2,0,0
Schweidnitz,6,0,0
Wuppertal-Barmen,23,0,0
Zittau,22,0,0
Utrecht (Niederlande),26,0,0
Nijmegen (Niederlande),7,0,0
Gießen,6,0,0
Seifhennersdorf,7,0,0
Diepholz,4,0,0
Melsungen,4,0,0
Esslingen (Neckar),6,0,0
Chur (Schweiz),14,0,0
Bojanowo (Polen),2,0,0
Schwiebus,3,0,0
Olten (Schweiz),11,0,0
Leutkirch,3,0,0
Poing,2,0,0
Kulmbach,7,0,0
Gütersloh,7,0,0
Gelsenkirchen,12,0,0
Asch,2,0,0
Hahnenklee,3,0,0
später Paris (Frankreich),2,0,0
Beuthen,8,0,0
Thale,6,0,0
Metz,4,49.1203467,6.180025593
Kamen,4,0,0
Dissen,2,0,0
Halberstadt,21,0,0
Beuron,4,0,0
Buenos Aires (Argentinien),72,0,0
Bergen (Norwegen),9,0,0
Dahme,6,0,0
Neubistritz,2,0,0
Kleinmachnow,5,0,0
Billstedt,2,0,0
Friedberg,5,0,0
später Hilversum (Niederlande),2,0,0
Korbach,4,0,0
Remscheid,7,0,0
Stockholm,3,59.35075995,18.09733473
